Denumirea produsului,Nr. rând,
,,
,,
A,B,
Cereale și leguminoase – total (masa trecută în cont),10,
din care:,11,
grâu ,,
inclusiv: alimentar,12,
furajer,13,
porumb,14,
mazăre boabe,15,
fasole boabe,16,
       secară,17,
       orz,18,
       ovăz,19,
Floarea-soarelui (masa trecută în cont),20,
Soia (masa trecută în cont),30,
Rapiţă,31,
Sfeclă de zahăr,40,
(masa primită pentru plată),,
Tutun (frunze uscate),50,
A,B,
Culturi etero-oleaginoase,60,
Cartofi,70,
Legume – total ,80,
din care:,81,
tomate,,
varză (toate varietăţile),82,
castraveţi,83,
sfeclă de masă,84,
morcov,85,
ceapă uscată,86,
usturoi uscat,87,
ardei graşi,88,
Vinete,89,
Dovlecei,90,
Gogoşari,91,
alte legume,92,
Culturi bostănoase,100,
Fructe şi pomuşoare – total,110,
  din care:,111,
sâmburoase,,
             din care prune,116,
                           cireșe,117,
sămânțoase ,112,
      din care mere,115,
Pomuşoare,113,
din care căpșuni,113.1,
             coacăza,113.2,
            zmeură,113.3,
            Agriș,113.4,
            Mure,113.5,
            Afine,113.6,
            cătina alba,113.7,
            aronia,113.8,
     alte pomușoare,113.9,
Nucifere  ,120,
din care: nuci,120.1,
               alune,120.2,
               migdale,120.3,
               altele,120.4,
Struguri – total,130,
din care: soiuri de masă,131,
"Vite şi păsări (în masă vie) – total, chintale",180,
din care:,,
bovine ,181,
porcine,182,
ovine şi caprine,183,
păsări,184,
alte specii de animale,185,
"Lapte şi produse lactate (în echivalent lapte cu conţinut de grăsime stabilit), chintale",190,
"Ouă, mii buc.",200,
"Lână (în echivalent fibre pure) , chintale",210,
